Year,Month,Category,Electric,Make,Model,Customer Category,Qty
2022,June,SUV Small < $40k,FALSE,Mazda,CX-30,Fleet,20
2022,June,SUV Small < $40k,FALSE,Mazda,CX-30,59 (Unknown),8
2022,June,SUV Small < $40k,FALSE,Mazda,MX-30,Private,3
2022,June,SUV Small < $40k,FALSE,Mazda,MX-30,Fleet,1
2022,June,SUV Small < $40k,FALSE,Mazda,MX-30,59 (Unknown),1
2022,June,SUV Small < $40k,FALSE,MG,MG ZS,Private,212
2022,June,SUV Small < $40k,FALSE,MG,MG ZS,Not For Profit,5
2022,June,SUV Small < $40k,FALSE,MG,MG ZS,Fleet,19
2022,June,SUV Small < $40k,FALSE,MG,MG ZS,59 (Unknown),8
2022,June,SUV Small < $40k,FALSE,Mitsubishi,ASX,Private,44
2022,June,SUV Small < $40k,FALSE,Mitsubishi,ASX,Rental,8
2022,June,SUV Small < $40k,FALSE,Mitsubishi,ASX,Not For Profit,17
2022,June,SUV Small < $40k,FALSE,Mitsubishi,ASX,Fleet - Large,17
2022,June,SUV Small < $40k,FALSE,Mitsubishi,ASX,Fleet,13
2022,June,SUV Small < $40k,FALSE,Mitsubishi,ASX,59 (Unknown),3
2022,June,SUV Small < $40k,FALSE,Mitsubishi,Eclipse Cross,Private,22
2022,June,SUV Small < $40k,FALSE,Mitsubishi,Eclipse Cross,Rental,3
2022,June,SUV Small < $40k,FALSE,Mitsubishi,Eclipse Cross,Not For Profit,2
2022,June,SUV Small < $40k,FALSE,Mitsubishi,Eclipse Cross,Fleet - Large,10
2022,June,SUV Small < $40k,FALSE,Mitsubishi,Eclipse Cross,Fleet,15
2022,June,SUV Small < $40k,FALSE,Mitsubishi,Eclipse Cross,59 (Unknown),1
2022,June,SUV Small < $40k,FALSE,Peugeot,2008,Private,1
2022,June,SUV Small < $40k,FALSE,Peugeot,2008,Fleet,2
2022,June,SUV Small < $40k,FALSE,Peugeot,2008,59 (Unknown),2
2022,June,SUV Small < $40k,FALSE,Renault,Renault Arkana,Private,11
2022,June,SUV Small < $40k,FALSE,Renault,Renault Arkana,Fleet,4
2022,June,SUV Small < $40k,FALSE,Renault,Renault Arkana,59 (Unknown),4
2022,June,SUV Small < $40k,FALSE,Skoda,Kamiq,Private,6
2022,June,SUV Small < $40k,FALSE,Skoda,Kamiq,Fleet,8
2022,June,SUV Small < $40k,FALSE,Skoda,Kamiq,59 (Unknown),8
2022,June,SUV Small < $40k,FALSE,Subaru,Subaru XV,Private,42
2022,June,SUV Small < $40k,FALSE,Subaru,Subaru XV,Fleet,7
2022,June,SUV Small < $40k,FALSE,Suzuki,Vitara,Private,7
2022,June,SUV Small < $40k,FALSE,Toyota,C-HR,Private,46
2022,June,SUV Small < $40k,FALSE,Toyota,C-HR,Fleet,6
2022,June,SUV Small < $40k,FALSE,Toyota,C-HR,59 (Unknown),1
2022,June,SUV Small < $40k,FALSE,Volkswagen,T-Roc,Private,12
2022,June,SUV Small < $40k,FALSE,Volkswagen,T-Roc,Fleet - Large,1
2022,June,SUV Small < $40k,FALSE,Volkswagen,T-Roc,Fleet,1
2022,June,SUV Small > $40k,FALSE,Audi,Q2,Private,2
2022,June,SUV Small > $40k,FALSE,Audi,Q2,Fleet,1
2022,June,SUV Small > $40k,FALSE,Audi,Q3,Private,25
2022,June,SUV Small > $40k,FALSE,Audi,Q3,Fleet,9
2022,June,SUV Small > $40k,FALSE,Audi,Q3,59 (Unknown),1
2022,June,SUV Small > $40k,FALSE,BMW,X1,Private,28
2022,June,SUV Small > $40k,FALSE,BMW,X1,Fleet,2
2022,June,SUV Small > $40k,FALSE,BMW,X1,59 (Unknown),2
2022,June,SUV Small > $40k,FALSE,BMW,X2,Private,5
2022,June,SUV Small > $40k,FALSE,BMW,X2,Fleet,1
2022,June,SUV Small > $40k,FALSE,BMW,X2,59 (Unknown),1
2022,June,SUV Small > $40k,TRUE,Jaguar,E-Pace,Private,1
2022,June,SUV Small > $40k,TRUE,Jaguar,E-Pace,Fleet,3
2022,June,SUV Small > $40k,TRUE,Jaguar,E-Pace,59 (Unknown),1
2022,June,SUV Small > $40k,FALSE,Lexus,Lexus UX,Private,5
2022,June,SUV Small > $40k,FALSE,Lexus,Lexus UX,Fleet,5
2022,June,SUV Small > $40k,FALSE,Lexus,Lexus UX,59 (Unknown),1
2022,June,SUV Small > $40k,TRUE,Mercedes-Benz,EQA,Private,4
2022,June,SUV Small > $40k,TRUE,Mercedes-Benz,EQA,Fleet,2
2022,June,SUV Small > $40k,FALSE,Mercedes-Benz,GLA-Class,Private,16
2022,June,SUV Small > $40k,FALSE,Mercedes-Benz,GLA-Class,Fleet,4
2022,June,SUV Small > $40k,FALSE,Mini,Mini Countryman,Private,14
2022,June,SUV Small > $40k,FALSE,Mini,Mini Countryman,Fleet,1
2022,June,SUV Small > $40k,FALSE,Mini,Mini Countryman,59 (Unknown),1
2022,June,SUV Small > $40k,FALSE,Volvo,XC40,Private,31
2022,June,SUV Small > $40k,FALSE,Volvo,XC40,Fleet,9
2022,June,SUV Small > $40k,FALSE,Volvo,XC40,59 (Unknown),3
2022,June,SUV Medium < $60k,FALSE,Ford,Escape,Private,7
2022,June,SUV Medium < $60k,FALSE,Ford,Escape,Not For Profit,40
2022,June,SUV Medium < $60k,FALSE,Ford,Escape,Fleet,1
2022,June,SUV Medium < $60k,FALSE,GWM,Haval H6,Private,60
2022,June,SUV Medium < $60k,FALSE,GWM,Haval H6,Rental,1
2022,June,SUV Medium < $60k,FALSE,GWM,Haval H6,Fleet,7
2022,June,SUV Medium < $60k,FALSE,GWM,Haval H6,59 (Unknown),2
2022,June,SUV Medium < $60k,FALSE,Honda,CR-V,Private,62
2022,June,SUV Medium < $60k,FALSE,Honda,CR-V,Fleet,1
2022,June,SUV Medium < $60k,FALSE,Hyundai,Tucson,Private,99
2022,June,SUV Medium < $60k,FALSE,Hyundai,Tucson,Government - State,7
2022,June,SUV Medium < $60k,FALSE,Hyundai,Tucson,Fleet,15
2022,June,SUV Medium < $60k,FALSE,Hyundai,Tucson,59 (Unknown),1
2022,June,SUV Medium < $60k,FALSE,Jeep,Cherokee,Private,0
2022,June,SUV Medium < $60k,FALSE,Jeep,Cherokee,Fleet,3
2022,June,SUV Medium < $60k,FALSE,Jeep,Cherokee,59 (Unknown),3
2022,June,SUV Medium < $60k,FALSE,Kia,Sportage,Private,98
2022,June,SUV Medium < $60k,FALSE,Kia,Sportage,Rental,20
2022,June,SUV Medium < $60k,FALSE,Kia,Sportage,Fleet - Large,3
2022,June,SUV Medium < $60k,FALSE,Kia,Sportage,Fleet,17
2022,June,SUV Medium < $60k,FALSE,Kia,Sportage,59 (Unknown),2
2022,June,SUV Medium < $60k,FALSE,Mazda,CX-5,Private,138
2022,June,SUV Medium < $60k,FALSE,Mazda,CX-5,Fleet,34
2022,June,SUV Medium < $60k,FALSE,Mazda,CX-5,59 (Unknown),14
2022,June,SUV Medium < $60k,FALSE,MG,HS,Private,89
2022,June,SUV Medium < $60k,FALSE,MG,HS,Rental,32
2022,June,SUV Medium < $60k,FALSE,MG,HS,Fleet,37
2022,June,SUV Medium < $60k,FALSE,MG,HS,59 (Unknown),17
2022,June,SUV Medium < $60k,FALSE,Mitsubishi,Outlander,Private,54
2022,June,SUV Medium < $60k,FALSE,Mitsubishi,Outlander,Rental,10
2022,June,SUV Medium < $60k,FALSE,Mitsubishi,Outlander,Not For Profit,2
2022,June,SUV Medium < $60k,FALSE,Mitsubishi,Outlander,Fleet - Large,34
2022,June,SUV Medium < $60k,FALSE,Mitsubishi,Outlander,Fleet,38
2022,June,SUV Medium < $60k,FALSE,Mitsubishi,Outlander,59 (Unknown),2
2022,June,SUV Medium < $60k,FALSE,Nissan,X-Trail,Private,25
2022,June,SUV Medium < $60k,FALSE,Nissan,X-Trail,Fleet - Large,6
2022,June,SUV Medium < $60k,FALSE,Nissan,X-Trail,Fleet,5
